"Site ID","Post ID",Title,Location,Type,"Post Name","Post Status"
1,44017,"Square Market",https://shipstation.com/promos/square-market/,promos,square-market,publish
1,44018,Nomorerack,https://shipstation.com/promos/nomorerack/,promos,nomorerack,publish
1,44019,"Internet Retailing Magazine",https://shipstation.com/promos/internet-retailing-magazine/,promos,internet-retailing-magazine,publish
1,44020,"SiriusXM Comedy",https://shipstation.com/promos/siriusxm-comedy/,promos,siriusxm-comedy,publish
1,44021,"SiriusXM Sports",https://shipstation.com/promos/siriusxm-sports/,promos,siriusxm-sports,publish
1,44022,"SiriusXM News",https://shipstation.com/promos/siriusxm-news/,promos,siriusxm-news,publish
1,44023,iHeart,https://shipstation.com/promos/iheart/,promos,iheart,publish
1,44024,Radio,https://shipstation.com/promos/radio-2/,promos,radio-2,publish
1,44025,Bloomberg,https://shipstation.com/promos/bloomberg/,promos,bloomberg,publish
1,44026,Deal,https://shipstation.com/promos/deal/,promos,deal,publish
1,44027,TV,https://shipstation.com/promos/tv/,promos,tv,publish
1,44028,"Sports TV",https://shipstation.com/promos/sports-tv/,promos,sports-tv,publish
1,44029,Save,https://shipstation.com/promos/save/,promos,save,publish
1,44030,Now,https://shipstation.com/promos/now/,promos,now,publish
1,44031,Try,https://shipstation.com/promos/try/,promos,try,publish
1,44032,"The Tim Ferriss Show",https://shipstation.com/promos/the-tim-ferriss-show-2/,promos,the-tim-ferriss-show-2,publish
1,44033,Snapchat,https://shipstation.com/promos/snapchat/,promos,snapchat,publish
1,44034,"Busted Open",https://shipstation.com/promos/busted-open/,promos,busted-open,publish
1,44035,"2 Bears, 1 Cave",https://shipstation.com/promos/2-bears-1-cave-2/,promos,2-bears-1-cave-2,publish
1,44036,Temando,https://shipstation.com/promos/temando/,promos,temando,publish
1,44037,"The Jeselnik & Rosenthal Vanity Project",https://shipstation.com/promos/the-jeselnik-rosenthal-vanity-project/,promos,the-jeselnik-rosenthal-vanity-project,publish
1,44038,ESPN,https://shipstation.com/promos/espn-2/,promos,espn-2,publish
1,44039,"Whitney Cummings",https://shipstation.com/promos/whitney-cummings/,promos,whitney-cummings,publish
1,44040,"Chris Guillebeau",https://shipstation.com/promos/chris-guillebeau/,promos,chris-guillebeau,publish
1,44042,p80,https://shipstation.com/promos/p80/,promos,p80,publish
1,44043,p81,https://shipstation.com/promos/p81/,promos,p81,publish
1,44044,p82,https://shipstation.com/promos/p82/,promos,p82,publish
1,44045,p83,https://shipstation.com/promos/p83/,promos,p83,publish
1,44046,p84,https://shipstation.com/promos/p84/,promos,p84,publish
1,44047,p85,https://shipstation.com/promos/p85/,promos,p85,publish
1,44048,p86,https://shipstation.com/promos/p86/,promos,p86,publish
1,44049,p87,https://shipstation.com/promos/p87/,promos,p87,publish
1,44050,p88,https://shipstation.com/promos/p88/,promos,p88,publish
1,44051,p89,https://shipstation.com/promos/p89/,promos,p89,publish
1,44052,p90,https://shipstation.com/promos/p90/,promos,p90,publish
1,44053,p91,https://shipstation.com/promos/p91/,promos,p91,publish
1,44054,p92,https://shipstation.com/promos/p92/,promos,p92,publish
1,44055,p93,https://shipstation.com/promos/p93/,promos,p93,publish
1,44056,p94,https://shipstation.com/promos/p94/,promos,p94,publish
1,44057,p95,https://shipstation.com/promos/p95/,promos,p95,publish
1,44058,p96,https://shipstation.com/promos/p96/,promos,p96,publish
1,44059,p97,https://shipstation.com/promos/p97/,promos,p97,publish
1,44060,p98,https://shipstation.com/promos/p98/,promos,p98,publish
1,44061,p99,https://shipstation.com/promos/p99/,promos,p99,publish
1,44062,p101,https://shipstation.com/promos/p101/,promos,p101,publish
1,44063,p102,https://shipstation.com/promos/p102/,promos,p102,publish
1,44064,p103,https://shipstation.com/promos/p103/,promos,p103,publish
1,44065,p104,https://shipstation.com/promos/p104/,promos,p104,publish
1,44066,p111,https://shipstation.com/promos/p111/,promos,p111,publish
1,44067,p111t,https://shipstation.com/promos/p111t/,promos,p111t,publish
1,44068,p112,https://shipstation.com/promos/p112/,promos,p112,publish
1,44069,p112t,https://shipstation.com/promos/p112t/,promos,p112t,publish
1,44070,p113,https://shipstation.com/promos/p113/,promos,p113,publish
1,44071,p113t,https://shipstation.com/promos/p113t/,promos,p113t,publish
1,44072,p114,https://shipstation.com/promos/p114/,promos,p114,publish
1,44073,p114t,https://shipstation.com/promos/p114t/,promos,p114t,publish
1,44074,p115,https://shipstation.com/promos/p115/,promos,p115,publish
1,44075,p115t,https://shipstation.com/promos/p115t/,promos,p115t,publish
1,44076,p116,https://shipstation.com/promos/p116/,promos,p116,publish
1,44077,p116t,https://shipstation.com/promos/p116t/,promos,p116t,publish
